,firearm_used_flag,zip_code,report_no,age,sex
5600,True,64111,KC20007646,37,F
5604,True,64132,KC20006241,37,F
5621,True,64133,KC20004714,30,M
5624,True,64123,KC20003763,18,M
5627,True,64131,KC20000768,18,M
5634,True,64111,KC20015257,25,M
5639,True,64124,KC20013664,23,M
5645,True,64133,KC20004714,25,F
5664,True,64119,KC20007180,35,F
5687,True,64106,KC20008387,23,M
5717,True,64128,KC20015694,31,M
5724,True,64114,KC20008582,54,M
5728,True,64131,KC20000857,22,M
5772,True,64130,KC20008013,21,M
5801,True,64128,KC20008719,28,F
5819,True,64133,KC20004714,27,M
5834,True,64155,KC20007525,18,M
5981,True,64130,KC20016181,57,F
6021,True,64124,KC20000487,45,F
6121,True,64109,KC20001104,42,M
6168,True,64109,KC20015120,27,F
6179,True,64127,KC20011581,24,M
6224,True,64125,KC20000794,45,F
6229,True,64110,KC20013117,32,M
6233,True,64132,KC20005231,27,M
6259,True,64129,KC20004954,22,F
6295,True,64131,KC20005218,41,M
6321,True,64110,KC20016437,58,M
6334,True,64130,KC20001488,31,F
6390,True,64130,KC20000810,88,F
6459,True,64130,KC20005139,20,M
6471,True,64030,KC20006857,18,M
6493,True,64133,KC20001693,35,F
6516,True,64130,KC20008157,59,M
6545,True,64127,KC20008328,48,F
6554,True,64111,KC20015257,19,M
6609,True,64126,KC20015624,40,M
6612,True,64110,KC20001389,26,F
6614,True,64116,KC20000013,50,M
6615,True,64127,KC20008339,29,M
6621,True,64127,KC20002651,22,M
6630,True,64133,KC20004714,36,M
6664,True,64128,KC20016663,39,F
6672,True,64130,KC20014607,20,F
6694,True,64124,KC20008131,36,M
6699,True,64132,KC20010147,23,M
6709,True,64111,KC20007648,29,F
6727,True,64111,KC20006244,27,M
6729,True,64133,KC20004714,30,F
6764,True,64111,KC20008699,24,M
6768,True,64117,KC20000809,31,M
6806,True,64116,KC20000387,30,M
6850,True,64116,KC20006101,21,M
6858,True,64133,KC20004714,20,F
6878,True,64137,KC20015688,34,M
6880,True,64134,KC20004297,19,M
6889,True,64134,KC20004297,18,M
6926,True,64116,KC20008601,30,M
6970,True,64131,KC20004959,24,M
7039,True,64130,KC20007669,35,F
7070,True,64106,KC20001088,25,M
7080,True,64130,KC20004170,36,F
7102,True,64110,KC20000638,66,F
7109,True,64108,KC20009618,24,M
7136,True,64127,KC20002332,38,M
7154,True,64110,KC20015284,30,M
7195,True,64109,KC20001735,31,M
7204,True,64130,KC20015449,45,F
7219,True,64130,KC20008013,30,F
7319,True,64118,KC20004727,33,F
7343,True,64133,KC20004714,22,F
7369,True,64131,KC20010302,20,M
7383,True,64108,KC20008160,28,F
7415,True,64130,KC20014974,39,M
7431,True,64130,KC20011616,44,F
7459,True,64133,KC20004714,31,M
7595,True,64030,KC20006857,33,F
7628,True,64130,KC20005139,25,F
7650,True,64124,KC20007031,21,M
7667,True,64123,KC20009630,24,M
7708,True,64127,KC20004227,25,F
7713,True,64111,KC20015257,25,M
7716,True,64133,KC20004714,27,F
7721,True,64131,KC20004478,34,M
7737,True,64130,KC20004945,29,F
7760,True,64127,KC20008917,23,M
7789,True,64110,KC20009940,30,M
7810,True,64130,KC20009074,18,M
7848,True,64131,KC20002725,24,M
7864,True,64106,KC20012133,18,M
7878,True,64124,KC20010401,38,M
7910,True,64114,KC20000029,65,M
7950,True,64130,KC20000356,19,M
7962,True,64151,KC20002992,38,M
7964,True,64132,KC20013538,81,M
8001,True,64108,KC20009618,37,M
8014,True,64124,KC20010233,28,M
8046,True,64130,KC20007016,52,M
8057,True,64126,KC20001881,21,M
8075,True,64124,KC20000233,50,M
8077,True,64131,KC20005218,23,F
8125,True,64132,KC20001150,28,M
8139,True,64128,KC20012399,18,F
8141,True,64123,KC20012126,32,M
8153,True,64155,KC20006915,44,M
8191,True,64110,KC20012275,46,F
8208,True,64134,KC20011352,23,M
8215,True,64108,KC20009618,36,M
8221,True,64106,KC20011927,36,M
8222,True,64129,KC20010215,29,M
8224,True,64147,KC20011369,30,M
8236,True,64132,KC20015237,47,M
8256,True,64130,KC20008013,27,F
8287,True,64137,KC20012786,19,M
8302,True,64130,KC20001194,46,F
8329,True,64128,KC20005334,27,F
8342,True,64131,KC20002352,37,M
8354,True,64128,KC20001542,61,M
8359,True,64131,KC20010867,58,F
8383,True,64213,KC20016364,58,M
8444,True,64120,KC20006805,48,M
8457,True,64106,KC20003970,30,F
8507,True,64132,KC20002842,49,M
8549,True,64129,KC20006251,25,F
8565,True,64127,KC20003589,37,F
