,Lat,Lng
5032,39.074446, -94.564807
5034,39.16135, -94.576895
5075,38.942007, -94.511331
5084,39.243255, -94.468335
5099,39.087174, -94.528392
5137,39.043742, -94.44374
5140,39.166425, -94.538607
5154,39.011483, -94.574649
5156,39.167143, -94.546779
5163,39.033747, -94.41578
5180,39.091201, -94.563361
5182,39.05866, -94.545341
5203,39.243065, -94.564666
5213,39.131023, -94.496292
5214,39.069086, -94.528532
5220,39.11254, -94.525682
5221,39.168919, -94.496877
5222,39.094188, -94.537443
5255,38.983113, -94.59465
5256,39.239405, -94.580607
5328,39.152142, -94.477208
5383,39.103025, -94.537363
5411,38.946824, -94.516968
5437,39.137295, -94.496032
5443,39.205992, -94.526875
5465,39.162169, -94.477608
5491,38.916996, -94.596279
5492,38.9617, -94.593814
5506,39.056729, -94.538539
5510,39.036041, -94.572119
5527,39.130741, -94.522787
5545,39.06392, -94.58935
5547,39.022379, -94.488906
5549,39.065131, -94.572993
5550,39.00355, -94.558812
5572,39.238889, -94.513552
5590,39.252223, -94.655534
5610,39.094373, -94.541765
5623,39.032338, -94.592117
5651,39.162339, -94.579637
5671,39.034577, -94.497804
5679,38.975728, -94.573914
5684,39.034829, -94.535132
5700,39.203149, -94.52786
5720,39.105729, -94.534067
5725,39.055047, -94.593128
5756,39.137024, -94.507191
5758,39.09744, -94.588521
5768,39.100795, -94.581248
5773,39.034577, -94.497804
5798,39.254765, -94.461749
5812,39.039847, -94.6056
5829,39.056419, -94.479484
5841,39.073699, -94.513742
5866,39.031992, -94.573516
5870,38.920949, -94.551896
5873,39.108701, -94.518912
5878,39.033747, -94.41578
5885,39.080166, -94.530624
5888,39.248576, -94.618536
5892,39.187974, -94.522373
5910,39.042437, -94.595019
5936,39.084761, -94.576146
5952,38.948277, -94.582353
5953,39.097246, -94.583315
5966,39.093106, -94.533265
5972,39.033747, -94.41578
5978,39.246552, -94.625522
5987,39.013575, -94.54109
5995,39.070631, -94.579239
6013,39.050483, -94.5973
6014,38.894745, -94.5731
6021,39.04387, -94.540349
6042,39.043583, -94.562619
6044,39.102357, -94.58304
6077,39.037199, -94.548691
6080,39.009697, -94.484166
6086,39.033747, -94.41578
6090,39.207783, -94.633951
6113,38.889239, -94.586045
6124,38.972623, -94.595169
6139,39.156762, -94.558332
6169,39.133326, -94.517981
6190,39.21227, -94.605586
6193,39.001649, -94.556734
6202,39.192529, -94.587156
6203,39.184283, -94.551814
6210,39.036918, -94.448801
6230,39.296623, -94.683361
6270,39.10689, -94.517827
6274,39.168365, -94.530686
6281,39.10091, -94.577328
6316,39.013221, -94.573947
6329,39.034019, -94.466033
6344,39.053044, -94.590339
6346,39.069553, -94.553372
6348,39.066865, -94.570266
6411,39.170653, -94.524938
6416,39.252223, -94.655534
6425,39.07254, -94.577655
6437,39.042145, -94.582315
6470,39.082082, -94.530937
6496,39.098488, -94.584405
6499,39.057261, -94.604964
6504,39.050508, -94.475389
6513,39.033747, -94.41578
6541,39.000836, -94.558929
6543,39.096132, -94.522133
6608,39.056941, -94.547814
6620,39.033747, -94.41578
6626,39.240462, -94.473896
6643,39.093332, -94.580055
6671,39.031072, -94.503033
6678,39.184283, -94.551814
6686,39.11488, -94.5279
6688,39.069988, -94.557003
6692,39.100258, -94.603269
6698,39.177029, -94.555415
6706,39.097387, -94.505402
6712,39.078152, -94.531922
6724,39.045808, -94.594832
6732,38.987195, -94.571055
6739,38.925606, -94.53143
6752,39.078058, -94.528774
6755,39.091041, -94.564575
6758,39.17152, -94.545943
6781,39.095459, -94.507792
6789,39.062197, -94.539394
6819,39.054132, -94.585147
6822,39.168919, -94.496877
6824,39.061266, -94.590503
6832,39.037654, -94.569302
6851,39.076166, -94.52335
6858,39.027498, -94.542649
6859,38.920616, -94.583763
6862,39.069086, -94.528532
6873,39.084761, -94.576146
6882,39.056624, -94.587312
6936,39.107804, -94.581392
6944,39.063018, -94.56477
6966,38.978977, -94.56942
6999,38.998349, -94.564385
7036,39.035597, -94.558151
7043,39.013852, -94.590632
7048,39.080036, -94.535077
7058,39.248754, -94.593197
7101,38.919656, -94.541538
7114,38.992745, -94.605769
7123,39.091262, -94.594599
7134,39.26403, -94.648615
7214,39.10445, -94.581809
7223,39.104507, -94.502799
7225,39.082902, -94.549899
7264,39.110335, -94.580974
7282,38.967834, -94.58352
7304,39.297401, -94.681712
7305,39.177485, -94.582454
7310,39.105323, -94.522598
7314,39.00917, -94.442718
7327,38.997369, -94.542708
7335,39.19479, -94.542762
7368,39.028648, -94.476863
7385,39.096259, -94.555019
7396,38.914091, -94.520983
7399,39.111602, -94.580938
7435,39.260134, -94.649356
7448,39.246394, -94.575366
7506,39.069842, -94.55284
7546,38.920964, -94.553538
7565,38.971462, -94.605386
7573,39.053044, -94.590339
7587,39.105627, -94.482032
7601,39.184283, -94.551814
7616,39.068419, -94.584002
7656,39.252014, -94.698089
7658,38.925767, -94.494043
7698,39.168764, -94.435152
7710,38.935437, -94.501393
7718,39.078058, -94.528774
7752,39.082046, -94.526494
7763,39.180748, -94.488472
7776,39.268772, -94.652788
7780,39.085895, -94.597227
7786,39.103826, -94.562716
7798,39.229969, -94.597863
7801,38.984776, -94.605503
7806,39.283845, -94.555969
7818,39.040783, -94.603542
7822,39.033747, -94.41578
7828,39.184283, -94.551814
7829,39.283598, -94.578008
7833,39.177029, -94.555415
7842,39.188137, -94.544057
7878,39.070226, -94.563223
7902,38.888707, -94.475554
7914,38.995728, -94.546522
7938,38.976247, -94.559136
7951,39.245466, -94.651365
7964,39.091571, -94.582512
7996,39.068817, -94.575489
