,firearm_used_flag,zip_code,report_no
5568,True,64127,KC20002563
5596,True,64111,KC20007646
5600,True,64132,KC20006241
5617,True,64133,KC20004714
5620,True,64123,KC20003763
5623,True,64131,KC20000768
5630,True,64111,KC20015257
5635,True,64124,KC20013664
5641,True,64133,KC20004714
5660,True,64119,KC20007180
5683,True,64106,KC20008387
5706,True,64127,KC20001464
5713,True,64128,KC20015694
5720,True,64114,KC20008582
5723,True,64117,KC20013013
5724,True,64131,KC20000857
5755,True,64108,KC20000218
5756,True,64125,KC20000794
5768,True,64130,KC20008013
5797,True,64128,KC20008719
5815,True,64133,KC20004714
5828,True,64123,KC20003763
5830,True,64155,KC20007525
5911,True,64134,KC20004653
5976,True,64126,KC20012743
5977,True,64130,KC20016181
6000,True,64120,KC20015654
6002,True,64134,KC20004297
6017,True,64124,KC20000487
6073,True,64127,KC20001122
6104,True,64124,KC20013039
6117,True,64109,KC20001104
6164,True,64109,KC20015120
6175,True,64127,KC20011581
6188,True,64155,KC20012054
6220,True,64125,KC20000794
6225,True,64110,KC20013117
6229,True,64132,KC20005231
6255,True,64129,KC20004954
6270,True,64127,KC20010714
6291,True,64131,KC20005218
6309,True,64114,KC20012472
6317,True,64110,KC20016437
6330,True,64130,KC20001488
6332,True,64124,KC20013315
6386,True,64130,KC20000810
6417,True,64130,KC20009074
6435,True,64134,KC20016218
6455,True,64130,KC20005139
6467,True,64030,KC20006857
6489,True,64133,KC20001693
6512,True,64130,KC20008157
6541,True,64127,KC20008328
6550,True,64111,KC20015257
6605,True,64126,KC20015624
6607,True,64127,KC20002651
6608,True,64110,KC20001389
6610,True,64116,KC20000013
6611,True,64127,KC20008339
6617,True,64127,KC20002651
6626,True,64133,KC20004714
6660,True,64128,KC20016663
6668,True,64130,KC20014607
6690,True,64124,KC20008131
6695,True,64132,KC20010147
6696,True,64114,KC20002799
6705,True,64111,KC20007648
6723,True,64111,KC20006244
6725,True,64133,KC20004714
6734,True,64134,KC20011993
6760,True,64111,KC20008699
6764,True,64117,KC20000809
6802,True,64116,KC20000387
6818,True,64139,KC20008708
6846,True,64116,KC20006101
6854,True,64133,KC20004714
6874,True,64137,KC20015688
6876,True,64134,KC20004297
6885,True,64134,KC20004297
6922,True,64116,KC20008601
6931,True,64128,KC20008719
6951,True,64110,KC20010538
6966,True,64131,KC20004959
6970,True,64155,KC20007525
6983,True,64129,KC20001538
6992,True,64134,KC20009823
7035,True,64130,KC20007669
7066,True,64106,KC20001088
7073,True,64155,KC20007951
7076,True,64130,KC20004170
7098,True,64110,KC20000638
7104,True,64129,KC20010215
7105,True,64108,KC20009618
7116,True,64138,KC20013838
7132,True,64127,KC20002332
7150,True,64110,KC20015284
7191,True,64109,KC20001735
7200,True,64130,KC20015449
7215,True,64130,KC20008013
7292,True,64125,KC20007375
7315,True,64118,KC20004727
7316,True,64124,KC20016294
7323,True,64124,KC20006484
7339,True,64133,KC20004714
7349,True,64106,KC20016206
7352,True,64132,KC20000645
7365,True,64131,KC20010302
7373,True,64128,KC20008838
7378,True,64127,KC20012453
7379,True,64108,KC20008160
7411,True,64130,KC20014974
7421,True,64128,KC20009109
7427,True,64130,KC20011616
7439,True,64138,KC20010791
7441,True,64128,KC20001032
7455,True,64133,KC20004714
7476,True,64111,KC20015257
7527,True,64138,KC20012855
7591,True,64030,KC20006857
7597,True,64133,KC20002839
7624,True,64130,KC20005139
7646,True,64124,KC20007031
7663,True,64123,KC20009630
7704,True,64127,KC20004227
7709,True,64111,KC20015257
7712,True,64133,KC20004714
7717,True,64131,KC20004478
7733,True,64130,KC20004945
7742,True,64116,KC20000013
7756,True,64127,KC20008917
7785,True,64110,KC20009940
7797,True,64124,KC20002758
7806,True,64130,KC20009074
7809,True,64127,KC20015682
7844,True,64131,KC20002725
7860,True,64106,KC20012133
7874,True,64124,KC20010401
7906,True,64114,KC20000029
7946,True,64130,KC20000356
7958,True,64151,KC20002992
7960,True,64132,KC20013538
7997,True,64108,KC20009618
8010,True,64124,KC20010233
8026,True,64126,KC20010467
8042,True,64130,KC20007016
8053,True,64126,KC20001881
8071,True,64124,KC20000233
8073,True,64131,KC20005218
8121,True,64132,KC20001150
8122,True,64127,KC20000249
8135,True,64128,KC20012399
8137,True,64123,KC20012126
8149,True,64155,KC20006915
8187,True,64110,KC20012275
8204,True,64134,KC20011352
8211,True,64108,KC20009618
8217,True,64106,KC20011927
8218,True,64129,KC20010215
8220,True,64147,KC20011369
8232,True,64132,KC20015237
8247,True,64127,KC20000621
8252,True,64130,KC20008013
8283,True,64137,KC20012786
8298,True,64130,KC20001194
8325,True,64128,KC20005334
8338,True,64131,KC20002352
8350,True,64128,KC20001542
8355,True,64131,KC20010867
8379,True,64213,KC20016364
8425,True,64131,KC20000498
8440,True,64120,KC20006805
8453,True,64106,KC20003970
8503,True,64132,KC20002842
8510,True,64123,KC20007026
8545,True,64129,KC20006251
8561,True,64127,KC20003589
8579,True,64132,KC20005231
8602,True,64111,KC20015257
8620,True,64134,KC20006387
